--------------------------------------------------------------------------------------------------------------------------------
+ Test Active Link              + Test Form                      3/12/2001  5:05:37 PM    Gain Focus; Lose Fo     0  Yes
SHRCFG:MGP-GroupIdReturn03      SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Return;                 3  Yes
SHRCFG:MGP-GroupIdReturn04      SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Return;                 4  Yes
SHRCFG:MGP-GroupIdReturn05      SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Return;                 5  Yes
SHRCFG:MGP-GroupIdReturn06      SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Return;                 6  Yes
SHRCFG:MGP-GroupIdReturn07      SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Return;                 7  Yes
SHRCFG:MGP-GroupNameMenu01      SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Menu Choice;            1  Yes
SHRCFG:MGP-GroupNameMenu02      SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Menu Choice;            2  Yes
SHRCFG:MGP-GroupNameMenu03      SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Menu Choice;            3  Yes
SHRCFG:MGP-NextCfgStep01        SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Button;               101  Yes
SHRCFG:MGP-NextCfgStep02D       SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Button;               102  No 
SHRCFG:MGP-NextCfgStep03        SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Button;               103  Yes
SHRCFG:MGP-NextCfgStep04        SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Button;               104  Yes
SHRCFG:MGP-NextCfgStep05        SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Button;               105  Yes
SHRCFG:MGP-NumPeopleInGrpELSE   SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    None;                   1  Yes
SHRCFG:MGP-PrevCfgStep01        SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Button;               101  Yes
SHRCFG:MGP-PrevCfgStep02        SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Button;               102  Yes
SHRCFG:MGP-PrevCfgStep03        SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Button;               103  Yes
SHRCFG:MGP-PrevCfgStep04        SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Button;               104  Yes
SHRCFG:MGP-RemoveAllPeople1     SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Button;                 1  Yes
SHRCFG:MGP-RemoveAllPeople10US  SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Button;                10  Yes
SHRCFG:MGP-RemoveAllPeople2     SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 2  Yes
SHRCFG:MGP-RemoveAllPeople3Ag   SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 3  Yes
SHRCFG:MGP-RemoveAllPeople4Ag   SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 4  Yes
SHRCFG:MGP-RemoveAllPeople5     SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 5  Yes
SHRCFG:MGP-RemoveAllPeople6Rsh  SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 6  Yes
SHRCFG:MGP-RemoveAllPeople9Lop  SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 9  Yes
SHRCFG:MGP-RemovePerson1        SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 1  Yes
SHRCFG:MGP-RemovePerson2        SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 2  Yes
SHRCFG:MGP-RemovePerson3        SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 3  Yes
SHRCFG:MGP-RemovePerson4Asgn    SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 4  Yes
SHRCFG:MGP-RemovePerson5Asgn    SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 4  Yes
SHRCFG:MGP-RemovePerson7US      SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 7  Yes
SHRCFG:MGP-RemovePerson8Refrsh  SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;                 8  Yes
SHRCFG:MGP-RmGrp00SetUp         SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    None;                   0  Yes
SHRCFG:MGP-RmGrp01GetIndex      SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    None;                   1  Yes
SHRCFG:MGP-RmGrp02GetGroupId    SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    None;                   2  Yes
SHRCFG:MGP-RmGrp03BuildNewList  SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    None;                   3  Yes
SHRCFG:MGP-RmGrp04SkipIt        SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    None;                   4  Yes
SHRCFG:MGP-RmGrp05LoopBack      SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    None;                   5  Yes
SHRCFG:MGP-SearchError          SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Query;                  0  Yes
SHRCFG:MGP-SelectGroupType01    SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Return;                 1  Yes
SHRCFG:MGP-SelectGroupType02    SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Return;                 2  Yes
SHRCFG:MGP-SelectGroupType03    SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Return;                 3  Yes
SHRCFG:MGP-UpdateStepsModifed   SHRCFG:ConfigManageGroups        1/11/2001 10:39:14 PM    Button;               910  Yes
SHRCFG:PGP-AddEntry01           SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 1  Yes
SHRCFG:PGP-AddEntry02           SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 2  Yes
SHRCFG:PGP-AddEntry03           SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 3  Yes
SHRCFG:PGP-AddEntry04           SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 4  Yes
SHRCFG:PGP-AddEntry05           SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 5  Yes
SHRCFG:PGP-AddEntry06           SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 6  Yes
SHRCFG:PGP-AddEntry06a          SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 6  Yes
SHRCFG:PGP-AddEntry06b          SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 6  Yes
SHRCFG:PGP-AddEntry06c          SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 6  Yes
SHRCFG:PGP-AddEntry06d          SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 6  Yes
SHRCFG:PGP-AddEntry07           SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 7  Yes
SHRCFG:PGP-AddEntry08           SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 8  Yes
SHRCFG:PGP-AddEntry15People     SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                15  Yes
SHRCFG:PGP-AddEntry15User       SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                15  Yes
SHRCFG:PGP-AddEntry20US         SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                20  Yes
SHRCFG:PGP-BackToStart          SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 1  Yes
SHRCFG:PGP-BackToStart2         SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Window Close;           2  Yes
SHRCFG:PGPD-cmdDetails...       SHRCFG:ConfigPeopleDialog        1/11/2001 10:38:51 PM    Button;                 0  Yes
SHRCFG:PGPD-DialgRefreshTable1  SHRCFG:ConfigPeopleDialog        1/11/2001 10:38:51 PM    Button;                 1  Yes
SHRCFG:PGPD-DialgRefreshTable2  SHRCFG:ConfigPeopleDialog        1/11/2001 10:38:51 PM    Button;                 2  Yes
SHRCFG:PGPD-DialogCancel        SHRCFG:ConfigPeopleDialog        1/11/2001 10:38:51 PM    Button;                 0  Yes
SHRCFG:PGPD-DialogClearFields   SHRCFG:ConfigPeopleDialog        1/11/2001 10:38:51 PM    Button;                 0  Yes
SHRCFG:PGPD-DialogOK            SHRCFG:ConfigPeopleDialog        1/11/2001 10:38:51 PM    Button;                 0  Yes
SHRCFG:PGP-DelPeopleInfo01      SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 1  Yes
SHRCFG:PGP-DelPeopleInfo02Peop  SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 2  Yes
SHRCFG:PGP-DelPeopleInfo03User  SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 3  Yes
SHRCFG:PGP-DelPeopleInfo04      SHRCFG:ConfigPeople              1/11/2001 10:39:44 PM    Button;                 4  Yes
SHRCFG:PGP-DelPeopleInfo05      SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Button;                 5  Yes
SHRCFG:PGP-DelPeopleInfo06      SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Button;                 6  Yes
SHRCFG:PGP-DelPeopleInfo20US    SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Button;                20  Yes
SHRCFG:PGPD-OnClickRefreshTbl   SHRCFG:ConfigPeopleDialog        1/11/2001 10:38:51 PM    Menu Choice; Button     3  Yes
SHRCFG:PGPD-OnOpenDisDetail     SHRCFG:ConfigPeopleDialog        1/11/2001 10:38:51 PM    Window Open;            0  Yes
SHRCFG:PGPD-OnOpenSearch01      SHRCFG:ConfigPeopleDialog        1/11/2001 10:38:51 PM    Window Open;           10  Yes
SHRCFG:PGPD-OnOpenSearch02      SHRCFG:ConfigPeopleDialog        1/11/2001 10:38:51 PM    Window Open;           11  Yes
SHRCFG:PGP-FillManager01        SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Return;                 1  Yes
SHRCFG:PGP-FillManager02        SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Return;                 2  Yes
SHRCFG:PGP-FillManager03        SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Return;                 3  Yes
SHRCFG:PGP-FillPersonFllNam00   SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Return;                 0  Yes
SHRCFG:PGP-FillPersonFllNam01   SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Return;                 1  Yes
SHRCFG:PGP-FillPersonID01       SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Return;                 1  Yes
SHRCFG:PGP-FillPersonID01Syb    SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Return;                 1  Yes
SHRCFG:PGP-FillPersonID02ELSE   SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Return;                 2  Yes
SHRCFG:PGP-FillPersonLastNm00   SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Return;                 0  Yes
SHRCFG:PGP-FillPersonLastNm01   SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Return;                 1  Yes
SHRCFG:PGP-FillPersonLogin00    SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Return;                 0  Yes
SHRCFG:PGP-FillPersonLogin01    SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    Return;                 1  Yes
SHRCFG:PGP-FillPersonNameGde02  SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    None;                   2  Yes
SHRCFG:PGP-FillPersonNameGde03  SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    None;                   3  Yes
SHRCFG:PGP-FillPersonNameGde04  SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    None;                   4  Yes
SHRCFG:PGP-FillPersonNameGde05  SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    None;                   5  Yes
SHRCFG:PGP-FillPersonNameGde06  SHRCFG:ConfigPeople              1/11/2001 10:39:45 PM    None;                   6  Yes
SHRCFG:PGP-FillPersonNameGde2S  SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    None;                   2  Yes
SHRCFG:PGP-FillPersonNameGde4S  SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    None;                   4  Yes
SHRCFG:PGP-FirstNameReturn      SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Lose Focus; Return;     0  Yes
SHRCFG:PGP-ModPeopleInfo01      SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 1  Yes
SHRCFG:PGP-ModPeopleInfo02      SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 2  Yes
SHRCFG:PGP-ModPeopleInfo03      SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 3  Yes
SHRCFG:PGP-ModPeopleInfo04      SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 4  Yes
SHRCFG:PGP-ModPeopleInfo05      SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 5  Yes
SHRCFG:PGP-ModPeopleInfo06a     SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 6  Yes
SHRCFG:PGP-ModPeopleInfo06b     SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 6  Yes
SHRCFG:PGP-ModPeopleInfo06c     SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 6  Yes
SHRCFG:PGP-ModPeopleInfo06d     SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 6  Yes
SHRCFG:PGP-ModPeopleInfo06e     SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 6  Yes
SHRCFG:PGP-ModPeopleInfo06f     SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 6  Yes
SHRCFG:PGP-ModPeopleInfo07ModU  SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 7  Yes
SHRCFG:PGP-ModPeopleInfo07Peop  SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 7  Yes
SHRCFG:PGP-ModPeopleInfo08AddU  SHRCFG:ConfigPeople              1/11/2001 10:39:46 PM    Button;                 8  Yes
SHRCFG:PGP-ModPeopleInfo09      SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;                 9  Yes
SHRCFG:PGP-ModPeopleInfo10      SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;                10  Yes
SHRCFG:PGP-ModPeopleInfo11      SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;                11  Yes
SHRCFG:PGP-ModPeopleInfo12      SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;                12  Yes
SHRCFG:PGP-ModPeopleInfo13US    SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;                13  Yes
SHRCFG:PGP-NextCfgStep01        SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;               101  Yes
SHRCFG:PGP-NextCfgStep02        SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;               102  Yes
SHRCFG:PGP-NextCfgStep03        SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;               103  Yes
SHRCFG:PGP-NextCfgStep04        SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;               104  Yes
SHRCFG:PGP-NextCfgStep05        SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;               105  Yes
SHRCFG:PGP-NoSubPeopleInfo      SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Submit;                 0  Yes
SHRCFG:PGP-PrevCfgStep01        SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;               101  Yes
SHRCFG:PGP-PrevCfgStep02        SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;               102  Yes
SHRCFG:PGP-PrevCfgStep03        SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;               103  Yes
SHRCFG:PGP-PrevCfgStep04        SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Button;               104  Yes
SHRCFG:PGP-SearchCityName0      SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Return;                 0  Yes
SHRCFG:PGP-SearchCityName1      SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Menu Choice; Return     1  Yes
SHRCFG:PGP-SearchCityName2      SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Menu Choice; Return     2  Yes
SHRCFG:PGP-SearchCityName3      SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Menu Choice; Return     3  Yes
SHRCFG:PGP-SearchCityName4      SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Menu Choice; Return     4  Yes
SHRCFG:PGP-SearchError          SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Query;                  0  Yes
SHRCFG:PGP-SearchPostalCode0    SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Return;                 5  Yes
SHRCFG:PGP-SearchPostalCode1    SHRCFG:ConfigPeople              1/11/2001 10:39:47 PM    Menu Choice; Return    10  Yes
SHRCFG:PGP-SearchPostalCode2    SHRCFG:ConfigPeople              1/11/2001 10:39:48 PM    Menu Choice; Return    20  Yes
SHRCFG:PGP-SearchPostalCode3    SHRCFG:ConfigPeople              1/11/2001 10:39:48 PM    Menu Choice; Return    30  Yes
SHRCFG:PGP-SearchPostalCode4    SHRCFG:ConfigPeople              1/11/2001 10:39:48 PM    Menu Choice; Return    40  Yes
SHRCFG:PGP-SearchPostalCode5    SHRCFG:ConfigPeople              1/11/2001 10:39:48 PM    Menu Choice; Return    60  Yes
SHRCFG:PGP-SelectPerson01       SHRCFG:ConfigPeople              1/11/2001 10:39:48 PM    Button;                 1  Yes
SHRCFG:PGP-SelectPerson02       SHRCFG:ConfigPeople              1/11/2001 10:39:48 PM    Button;                 2  Yes
SHRCFG:PGP-SelectPerson02Syb    SHRCFG:ConfigPeople              1/11/2001 10:39:48 PM    Button;                 2  Yes
SHRCFG:PGP-SelectRegion         SHRCFG:ConfigPeople              1/11/2001 10:39:48 PM    Menu Choice; Return     1  Yes
SHRCFG:PGP-SelectSite           SHRCFG:ConfigPeople              1/11/2001 10:39:48 PM    Menu Choice; Return     1  Yes
SHRCFG:PGP-SetCountryName0      SHRCFG:ConfigPeople              1/11/2001 10:39:48 PM    Return;                 0  Yes
SHRCFG:PGP-SetCountryName1      SHRCFG:ConfigPeople              1/11/2001 10:39:49 PM    Menu Choice; Return     1  Yes
SHRCFG:PGP-SetCountryName2      SHRCFG:ConfigPeople              1/11/2001 10:39:49 PM    Menu Choice; Return     2  Yes
SHRCFG:PGP-SetCountryName3      SHRCFG:ConfigPeople              1/11/2001 10:39:49 PM    Menu Choice; Return     3  Yes
SHRCFG:PGP-SetCountryName4      SHRCFG:ConfigPeople              1/11/2001 10:39:49 PM    Menu Choice; Return     4  Yes
SHRCFG:PGP-SetStateProvName1    SHRCFG:ConfigPeople              1/11/2001 10:39:49 PM    Return;                 1  Yes
SHRCFG:PGP-SetStateProvName2    SHRCFG:ConfigPeople              1/11/2001 10:39:49 PM    Return;                 2  Yes
SHRCFG:PGP-SetStateProvName3    SHRCFG:ConfigPeople              1/11/2001 10:39:49 PM    Menu Choice; Modify     3  Yes
SHRCFG:PGP-SetStateProvName4    SHRCFG:ConfigPeople              1/11/2001 10:39:49 PM    Return;                 4  Yes
SHRCFG:PGP-UpdateStepsModifed   SHRCFG:ConfigPeople              1/11/2001 10:39:49 PM    Button;               910  Yes
SHRCFG:QUL-AddAnd               SHRCFG:Qualification             1/11/2001 10:42:52 PM    Button;                 0  Yes
SHRCFG:QUL-AddAnd2              SHRCFG:Qualification             1/11/2001 10:42:53 PM    Button;                 0  Yes
SHRCFG:QUL-AddDivide            SHRCFG:Qualification             1/11/2001 10:42:53 PM    Button;                 0  Yes
SHRCFG:QUL-AddDivide2           SHRCFG:Qualification             1/11/2001 10:42:53 PM    Button;                 0  Yes
SHRCFG:QUL-AddDoubleQuote       SHRCFG:Qualification             1/11/2001 10:42:53 PM    Button;                 0  Yes
SHRCFG:QUL-AddDoubleQuote2      SHRCFG:Qualification             1/11/2001 10:42:53 PM    Button;                 0  Yes
SHRCFG:QUL-AddEqual             SHRCFG:Qualification             1/11/2001 10:42:53 PM    Button;                 0  Yes
SHRCFG:QUL-AddEqual2            SHRCFG:Qualification             1/11/2001 10:42:53 PM    Button;                 0  Yes
SHRCFG:QUL-AddGreaterThan       SHRCFG:Qualification             1/11/2001 10:42:53 PM    Button;                 0  Yes
